名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,100000003.0,0.15,72.0,4.999999934216857,2.6901058528820052e-17,5.38021170576401e-18
正三角形,5,100000003.0,0.15,73.0,5.000000028956801,2.949411635037788e-17,5.898823270075577e-18
正三角形,5,100000003.0,0.15,74.0,5.000000127214063,3.176119013794002e-17,6.352238027588004e-18
正三角形,5,100000003.0,0.15,75.0,5.000000018390336,3.087839921935658e-17,6.175679843871316e-18
正三角形,5,100000003.0,0.15,76.0,4.99999966984366,2.7133647926821558e-17,5.426729585364312e-18
正三角形,5,100000003.0,0.15,77.0,4.999999234517796,8.815052414244898e-18,1.7630104828489795e-18
正三角形,5,100000003.0,0.15,78.0,4.999999490095741,3.5252511777749046e-17,7.05050235554981e-18
正三角形,5,100000003.0,0.15,79.0,4.999999772690871,2.3590407490695677e-17,4.718081498139136e-18
正三角形,5,100000003.0,0.15,80.0,5.000000084812153,1.9939152989346032e-17,3.9878305978692064e-18
正三角形,5,100000003.0,0.15,81.0,5.000000139155303,2.4547821717085418e-17,4.909564343417084e-18
正三角形,5,100000003.0,0.15,82.0,4.999999993719026,2.4970092850340053e-17,4.994018570068011e-18
正三角形,5,100000003.0,0.15,83.0,4.999999898955723,2.3488818369634066e-17,4.6977636739268135e-18
正三角形,5,100000003.0,0.15,84.0,4.999999968452327,2.2216787719845254e-17,4.4433575439690505e-18
正三角形,5,100000003.0,0.15,85.0,5.0000000711690795,2.237533566791454e-17,4.475067133582908e-18
正三角形,5,100000003.0,0.15,86.0,5.000000053956676,2.289275089965302e-17,4.578550179930604e-18
正三角形,5,100000003.0,0.15,87.0,4.999999957250792,2.2682346359327714e-17,4.536469271865543e-18
正三角形,5,100000003.0,0.15,88.0,4.999999933612977,2.217757104019784e-17,4.4355142080395675e-18
正三角形,5,100000003.0,0.15,89.0,5.00000001429067,2.209157039145152e-17,4.418314078290304e-18
正三角形,5,100000003.0,0.15,90.0,5.000000070412024,2.218736058445002e-17,4.437472116890004e-18
正三角形,5,100000003.0,0.2,0.0,5.00000000006429,2.811941217169856e-22,5.623882434339712e-23
正三角形,5,100000003.0,0.2,1.0,5.000000000013786,2.1780742240776888e-17,4.356148448155378e-18
正三角形,5,100000003.0,0.2,2.0,4.9999999999413305,8.975605247640908e-17,1.7951210495281816e-17
正三角形,5,100000003.0,0.2,3.0,4.99999999996081,2.1177306472030037e-16,4.235461294406007e-17
正三角形,5,100000003.0,0.2,4.0,5.000000000042599,4.008574819927159e-16,8.017149639854318e-17
正三角形,5,100000003.0,0.2,5.0,5.000000000058349,6.771567480555317e-16,1.3543134961110633e-16
正三角形,5,100000003.0,0.2,6.0,4.99999999998162,1.0744173628484831e-15,2.1488347256969662e-16
正三角形,5,100000003.0,0.2,7.0,4.999999999931994,1.6484340058024574e-15,3.296868011604915e-16
正三角形,5,100000003.0,0.2,8.0,4.999999999989521,2.483202099416634e-15,4.966404198833268e-16
正三角形,5,100000003.0,0.2,9.0,5.000000000066111,3.703008856044618e-15,7.406017712089235e-16
正三角形,5,100000003.0,0.2,10.0,5.00000000003964,5.510996644012817e-15,1.1021993288025633e-15
正三角形,5,100000003.0,0.2,11.0,4.999999999947835,8.264580386235215e-15,1.652916077247043e-15
正三角形,5,100000003.0,0.2,12.0,4.999999999935523,1.2587672709978997e-14,2.5175345419957992e-15
正三角形,5,100000003.0,0.2,13.0,5.000000000027298,1.956931482535919e-14,3.913862965071838e-15
