名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,10003.0,0.15,19.0,0.02434906439504113,2.170890411920073e-11,4.341780823840146e-12
正三角形,5,10003.0,0.15,20.0,0.02015950382130889,1.1583160660695911e-11,2.3166321321391822e-12
正三角形,5,10003.0,0.15,21.0,0.0166945748633974,6.274471294568126e-12,1.2548942589136253e-12
正三角形,5,10003.0,0.15,22.0,0.01383818467422652,3.447470920508422e-12,6.894941841016844e-13
正三角形,5,10003.0,0.15,23.0,0.011489870807103173,1.919798844329653e-12,3.839597688659306e-13
正三角形,5,10003.0,0.15,24.0,0.009563877241616352,1.0827810533758434e-12,2.1655621067516868e-13
正三角形,5,10003.0,0.15,25.0,0.007987769474120165,6.181443247333519e-13,1.2362886494667037e-13
正三角形,5,10003.0,0.15,26.0,0.006700846869074493,3.570029102946449e-13,7.140058205892898e-14
正三角形,5,10003.0,0.15,27.0,0.0056525315488274875,2.0849046332632606e-13,4.169809266526521e-14
正三角形,5,10003.0,0.15,28.0,0.004800844444810725,1.23072899247421e-13,2.46145798494842e-14
正三角形,5,10003.0,0.15,29.0,0.004111027518908924,7.341016654954726e-14,1.4682033309909453e-14
正三角形,5,10003.0,0.15,30.0,0.003554336040045145,4.423299567729574e-14,8.846599135459148e-15
正三角形,5,10003.0,0.15,31.0,0.0031070028879864606,2.6917247043233475e-14,5.383449408646695e-15
正三角形,5,10003.0,0.15,32.0,0.0027493644518825004,1.6539449220292853e-14,3.3078898440585705e-15
正三角形,5,10003.0,0.15,33.0,0.0024651316213517515,1.0259791609541064e-14,2.051958321908213e-15
正三角形,5,10003.0,0.15,34.0,0.002240787241054516,6.424034304467204e-15,1.2848068608934408e-15
正三角形,5,10003.0,0.15,35.0,0.0020650915534365273,4.059313172060604e-15,8.118626344121209e-16
正三角形,5,10003.0,0.15,36.0,0.001928678503186048,2.5881601302563457e-15,5.176320260512691e-16
正三角形,5,10003.0,0.15,37.0,0.00182372765096457,1.664694412410135e-15,3.32938882482027e-16
正三角形,5,10003.0,0.15,38.0,0.0017436984541166138,1.0799049878977602e-15,2.1598099757955204e-16
正三角形,5,10003.0,0.15,39.0,0.0016831156094623447,7.063839241748342e-16,1.4127678483496683e-16
正三角形,5,10003.0,0.15,40.0,0.001637395918787853,4.657949942411044e-16,9.315899884822088e-17
正三角形,5,10003.0,0.15,41.0,0.0016027086952173524,3.095610986652395e-16,6.19122197330479e-17
正三角形,5,10003.0,0.15,42.0,0.0015758630759166426,2.0730347453088227e-16,4.1460694906176456e-17
正三角形,5,10003.0,0.15,43.0,0.0015542167573843956,1.398645260416392e-16,2.797290520832784e-17
正三角形,5,10003.0,0.15,44.0,0.001535601644301264,9.506289502333902e-17,1.9012579004667804e-17
正三角形,5,10003.0,0.15,45.0,0.0015182627235381771,6.509009291386714e-17,1.3018018582773428e-17
正三角形,5,10003.0,0.15,46.0,0.0015008071629876334,4.490110105885427e-17,8.980220211770854e-18
正三角形,5,10003.0,0.15,47.0,0.0014821612105899331,3.121147111299986e-17,6.2422942225999715e-18
正三角形,5,10003.0,0.15,48.0,0.0014615329509050192,2.1867350863149688e-17,4.373470172629938e-18
正三角形,5,10003.0,0.15,49.0,0.001438379381648258,1.5446588250139755e-17,3.089317650027951e-18
正三角形,5,10003.0,0.15,50.0,0.0014123766154778698,1.1004128543580993e-17,2.2008257087161987e-18
正三角形,5,10003.0,0.15,51.0,0.0013833923052389164,7.908221207980774e-18,1.5816442415961547e-18
正三角形,5,10003.0,0.15,52.0,0.001351459643289601,5.734228189248893e-18,1.1468456378497786e-18
正三角形,5,10003.0,0.15,53.0,0.0013167525039661924,4.1952601199850124e-18,8.390520239970025e-19
正三角形,5,10003.0,0.15,54.0,0.001279561486336753,3.0965455797202653e-18,6.193091159440531e-19
正三角形,5,10003.0,0.15,55.0,0.00124027077335767,2.305215351141106e-18,4.610430702282212e-19
正三角形,5,10003.0,0.15,56.0,0.001199335852827482,1.7301754214804408e-18,3.4603508429608815e-19
正三角形,5,10003.0,0.15,57.0,0.0011572622437114688,1.3086311454814211e-18,2.6172622909628424e-19
正三角形,5,10003.0,0.15,58.0,0.0011145854371729744,9.970259574524654e-19,1.9940519149049309e-19
正三角形,5,10003.0,0.15,59.0,0.0010718522946773846,7.649276201140831e-19,1.5298552402281662e-19
正三角形,5,10003.0,0.15,60.0,0.0010296041471851468,5.908926655982674e-19,1.1817853311965346e-19
正三角形,5,10003.0,0.15,61.0,0.0009883618130871112,4.596635404610898e-19,9.193270809221796e-20
正三角形,5,10003.0,0.15,62.0,0.0009486127034944404,3.6026602181917615e-19,7.205320436383524e-20
正三角形,5,10003.0,0.15,63.0,0.0009108001186784023,2.8471565735332075e-19,5.694313147066415e-20
正三角形,5,10003.0,0.15,64.0,0.0008753147666449456,2.271361424768128e-19,4.542722849536256e-20
正三角形,5,10003.0,0.15,65.0,0.00084248846185104,1.8315611123181666e-19,3.6631222246363335e-20
正三角形,5,10003.0,0.15,66.0,0.0008125898959549047,1.4949378215022184e-19,2.9898756430044367e-20
正三角形,5,10003.0,0.15,67.0,0.0007858223187680766,1.2366817417438702e-19,2.4733634834877405e-20
正三角形,5,10003.0,0.15,68.0,0.0007623229297977468,1.0379555011471828e-19,2.0759110022943657e-20
正三角形,5,10003.0,0.15,69.0,0.0007421637603248849,8.844338510517902e-20,1.7688677021035806e-20
正三角形,5,10003.0,0.15,70.0,0.0007253538221857455,7.652344137920203e-20,1.5304688275840407e-20
正三角形,5,10003.0,0.15,71.0,0.0007118423099110334,6.721174006838453e-20,1.3442348013676905e-20
正三角形,5,10003.0,0.15,72.0,0.00070152266400143,5.98874488100586e-20,1.197748976201172e-20
正三角形,5,10003.0,0.15,73.0,0.0006942373306079126,5.4085447422270935e-20,1.0817089484454187e-20
正三角形,5,10003.0,0.15,74.0,0.0006897830824013173,4.9459109153676385e-20,9.891821830735277e-21
正三角形,5,10003.0,0.15,75.0,0.0006879167930608412,4.5751006111031633e-20,9.150201222206327e-21
正三角形,5,10003.0,0.15,76.0,0.0006883615805182303,4.276989008619723e-20,8.553978017239446e-21
正三角形,5,10003.0,0.15,77.0,0.0006908132498676371,4.037282215650443e-20,8.074564431300886e-21
正三角形,5,10003.0,0.15,78.0,0.0006949469748523691,3.8451481876052776e-20,7.690296375210555e-21
正三角形,5,10003.0,0.15,79.0,0.0007004241573311447,3.692194045391159e-20,7.384388090782318e-21
正三角形,5,10003.0,0.15,80.0,0.0007068993982931904,3.5717220570155044e-20,7.143444114031009e-21
正三角形,5,10003.0,0.15,81.0,0.0007140275036791601,3.4782094878681027e-20,6.956418975736206e-21
正三角形,5,10003.0,0.15,82.0,0.0007214704356756385,3.406963440389366e-20,6.813926880778731e-21
正三角形,5,10003.0,0.15,83.0,0.000728904107537034,3.353905073187724e-20,6.707810146375448e-21
正三角形,5,10003.0,0.15,84.0,0.0007360249093853837,3.3154513802139077e-20,6.630902760427815e-21
正三角形,5,10003.0,0.15,85.0,0.0007425558454648513,3.288459733258626e-20,6.576919466517252e-21
正三角形,5,10003.0,0.15,86.0,0.0007482521610704735,3.2702178467319335e-20,6.540435693463867e-21
正三角形,5,10003.0,0.15,87.0,0.0007529063403567561,3.2584558374278886e-20,6.516911674855777e-21
正三角形,5,10003.0,0.15,88.0,0.0007563523644744214,3.251370280543934e-20,6.502740561087868e-21
正三角形,5,10003.0,0.15,89.0,0.0007584691325804966,3.2476501789619487e-20,6.4953003579238975e-21
正三角形,5,10003.0,0.15,90.0,0.0007591829655258381,3.246499199474299e-20,6.4929983989485976e-21
正三角形,5,1003.0,0.2,0.0,2.499253036534396,0.24977118097011883,0.04995423619402377
正三角形,5,1003.0,0.2,1.0,1.250423951526003,0.03352789291882868,0.0067055785837657365
正三角形,5,1003.0,0.2,2.0,0.8663949709655828,0.005118070025109785,0.001023614005021957
正三角形,5,1003.0,0.2,3.0,0.6789741356932419,0.0011585737598095438,0.00023171475196190875
正三角形,5,1003.0,0.2,4.0,0.564404916443231,0.000336281823808565,6.7256364761713e-05
正三角形,5,1003.0,0.2,5.0,0.4858263391266189,0.0001151784037063614,2.303568074127228e-05
正三角形,5,1003.0,0.2,6.0,0.42771380064001746,4.416302062293888e-05,8.832604124587776e-06
正三角形,5,1003.0,0.2,7.0,0.38232914000895823,1.8718654959926805e-05,3.7437309919853608e-06
正三角形,5,1003.0,0.2,8.0,0.34528561588186274,8.630024963658687e-06,1.7260049927317373e-06
正三角形,5,1003.0,0.2,9.0,0.31386342064473643,4.141145363269681e-06,8.282290726539363e-07
